-0.015006812941857905,0.018587704653705295,-0.015304670313798674,-0.007100092982172845,Y,L,I,F,W,Z,N,V,P,T,U,X
-0.01780226807138896,0.015979968740646666,-0.018496172434321223,-0.0031385116984760097,W,Z,F,Y,X,N,I,V,T,L,U,P
-0.008921606268195159,0.010962869125265784,-0.011344679967451476,-0.0017154058943302797,P,U,F,L,V,Y,Z,W,N,X,I,T
-0.010187344439261614,0.0023564144904895112,-0.008842781808546474,-0.016568494958718927,U,X,P,W,T,V,L,Z,Y,F,I,N
-0.011808275034679738,0.012423857765365587,-0.01599690715084956,-0.005021512643631376,X,V,N,Y,I,F,P,W,L,U,Z,T
-9.698898568795133E-4,0.008268255301630001,-4.522434335757497E-4,-0.003049157815769976,W,N,V,P,I,X,L,U,Y,F,Z,T
-0.016623998294129416,0.010128110492777176,-0.004877515596447668,-0.006972813310185844,N,T,V,U,P,L,Z,X,Y,W,F,I
-0.010194182513186933,0.013558282267724042,-0.01790282705560109,-0.005430907768577242,P,U,L,Z,V,W,T,F,Y,X,I,N
-5.364434919316041E-4,0.0037690831450746254,-0.014999101395011594,-0.012787926919179293,I,X,V,U,Y,F,L,N,W,Z,P,T
-0.014852726149868545,0.017338421026714013,-0.0011214812668478569,-0.008964296034510322,V,F,T,I,N,X,U,P,Y,L,W,Z
-0.0013903364755925018,1.2028986592493851E-4,-0.018959058210483937,-0.008321048763894168,Z,Y,N,U,W,V,P,X,L,I,T,F
-0.012194533466427515,0.01257855154807952,-0.005617731104881285,-0.006693710385529239,X,L,F,N,Z,I,W,P,U,Y,T,V
-0.011800925906421345,0.012109619581446962,-0.011947960415818581,-0.011656101094398519,F,P,W,Y,Z,N,V,X,U,I,L,T
-0.006982372874223208,0.0196969579652696,-0.0070948638417008825,-0.01284354471691096,X,P,L,Z,F,T,U,I,W,Y,V,N
-0.013477565074148545,0.013551927436297517,-0.0038960009750463875,-0.004450806089342563,U,X,F,I,P,Y,N,L,V,Z,W,T
-0.01470438258488782,0.013132699983170348,-0.012066415679221842,-0.013457914848387209,T,W,L,P,F,X,Y,V,N,I,U,Z
