4,67,422
37,20,7
313,10,04
32,10,29
211,49,08
3,12,0
7,16,5
12,12,2
29,35,0
2,12,9
21,5,0
2,3,0
39,10,0
24,27,2
29,53,2
1,23,4
4,21,0
12,13,3
13,96,1
47,39,1
4,7,0
5,25,0
6,42,2
7,13,0
21,30,4
30,2,2
13,6,2
3,30,0
3,6,0
12,13,3
12,35,1
2,17,0
5,11,0
8,11,0
0,7,2
32,12,1
11,19,0
11,14,0
7,11,0
2,31,2
2,5,2
6,12,1
15,19,1
3,31,0
29,93,3
1,16,1
1,10,2
20,4,0
14,25,0
11,6,4
10,7,0
15,40,2
8,7,0
10,11,4
18,43,4
10,23,0
12,30,0
9,27,0
17,22,1
6,29,1
5,24,0
5,3,1
15,26,0
16,7,4
10,30,2
8,13,1
5,27,0
4,7,0
6,14,0
5,58,0
9,16,7
5,8,4
5,17,0
6,12,0
1,15,7
17,40,3
15,67,3
36,15,2
6,23,3
5,18,0
9,6,4
15,62,0
2,39,0
7,18,0
9,31,1
13,11,10
2,61,0
3,6,0
6,0,0
7,15,2
6,4,0
8,30,2
7,48,1
22,5,1
2,35,2
1,16,0
6,33,0
2,33,2
4,9,1
10,21,0
6,8,3
2,21,0
10,5,0
14,15,0
1,6,0
23,18,2
9,24,5
3,46,0
1,12,0
4,18,0
6,34,2
21,29,0
11,8,1
11,36,0
5,20,0
14,63,1
12,39,0
9,78,3
18,40,0
6,19,2
7,17,0
5,4,2
8,19,0
2,28,2
12,11,0
14,18,2
11,6,2
2,12,0
14,19,3
4,52,2
13,15,6
0,44,2
24,7,2
2,40,0
0,14,3
22,35,2
16,13,0
6,22,0
26,52,0
2,58,2
41,11,3
14,35,0
21,49,3
19,7,6
8,8,2
9,21,2
10,44,0
11,12,0
6,14,4
11,24,2
4,16,1
19,16,2
11,23,5
55,5,1
15,3,0
10,32,1
17,30,3
6,57,4
8,5,0
2,13,0
18,15,4
5,20,1
4,12,0
8,16,0
15,2,0
16,17,0
20,16,2
1,55,0
8,33,0
0,18,0
10,13,0
12,3,5
8,4,1
8,13,0
5,17,0
12,11,0
8,5,0
7,6,0
6,13,4
44,10,1
2,10,2
24,51,1
15,13,5
11,5,0
6,7,0
10,19,6
7,28,0
2,10,0
3,15,2
29,9,3
6,50,2
0,21,1
7,13,3
0,28,2
0,11,1
28,16,1
0,9,2
14,35,0
2,20,1
13,10,2
4,6,0
20,4,3
9,8,0
5,18,4
7,21,2
9,40,0
3,14,4
7,26,4
6,10,0
2,10,2
15,25,2
5,9,1
2,6,2
1,15,2
10,18,0
5,37,0
2,11,1
21,19,2
4,14,0
4,20,2
0,20,0
3,18,2
5,25,0
6,12,0
2,17,1
1,40,0
9,2,2
5,21,1
9,2,0
13,14,0
31,19,2
4,14,2
6,36,3
23,8,2
13,31,6
5,72,4
5,20,0
14,11,0
26,36,2
6,13,0
28,23,0
7,14,1
5,4,0
28,15,0
0,36,1
7,52,2
55,25,3
1,21,0
4,13,2
3,18,0
8,10,0
4,28,0
11,11,0
2,9,0
3,16,4
1,15,2
3,14,6
1,5,4
35,47,3
8,18,2
13,29,2
3,9,3
1,21,0
11,13,1
42,17,0
17,23,3
21,18,0
9,30,0
4,7,3
13,15,1
8,11,0
8,54,1
45,6,2
9,5,1
11,36,2
5,7,2
13,14,1
8,30,3
10,8,0
7,26,3
15,21,2
15,7,0
8,28,0
4,26,0
19,15,0
2,11,2
2,7,0
15,47,2
14,14,0
10,14,2
30,65,0
2,13,0
13,21,2
3,9,0
8,5,2
6,11,0
1,12,2
13,5,1
17,20,4
7,13,1
4,10,0
5,32,0
8,14,0
17,5,0
8,14,0
54,69,2
8,17,0
18,18,0
3,12,3
23,19,0
24,8,0
3,5,0
16,24,0
4,53,0
9,77,2
5,36,0
5,12,2
7,40,4
3,10,3
9,15,3
5,16,2
5,26,0
5,3,2
16,8,0
0,39,4
9,20,2
17,32,0
6,25,3
4,31,0
33,49,2
4,12,0
25,16,3
11,17,2
12,34,1
13,20,0
6,87,4
20,4,2
62,10,2
5,4,1
14,59,2
5,7,6
16,8,0
4,48,3
24,13,0
3,20,4
0,33,0
3,11,2
0,42,0
11,37,0
14,13,0
8,13,1
1,33,2
5,25,1
5,8,0
4,14,0
15,27,4
